1/10, 1/4, 5, 1681.483908217, 2025-01-17T07:57:29.936
1/10, 2/4, 7, 3157.145097502, 2025-01-17T08:50:07.089
1/10, 3/4, 9, 6082.136694122, 2025-01-17T10:31:29.245
1/10, 4/4, 11, 9715.662713882, 2025-01-17T13:13:24.960
2/10, 1/4, 5, 1627.995261749, 2025-01-17T13:48:49.372
2/10, 2/4, 7, 3265.721610947, 2025-01-17T14:43:15.101
2/10, 3/4, 9, 6201.65373915, 2025-01-17T16:26:36.777
2/10, 4/4, 11, 9880.922897876, 2025-01-17T19:11:17.751
3/10, 1/4, 5, 1643.72586825, 2025-01-17T19:41:27.464
3/10, 2/4, 7, 3203.853075533, 2025-01-17T20:34:51.325
3/10, 3/4, 9, 5862.750531275, 2025-01-17T22:12:34.094
3/10, 4/4, 11, 10055.971041202, 2025-01-18T01:00:10.117
4/10, 1/4, 5, 1625.103001819, 2025-01-18T01:34:56.825
4/10, 2/4, 7, 3175.355601368, 2025-01-18T02:27:52.187
4/10, 3/4, 9, 5900.580216318, 2025-01-18T04:06:12.786
4/10, 4/4, 11, 9823.838126029, 2025-01-18T06:49:56.679
5/10, 1/4, 5, 1624.107670132, 2025-01-18T07:27:43.054
5/10, 2/4, 7, 3144.719737461, 2025-01-18T08:20:07.781
5/10, 3/4, 9, 6087.270064406, 2025-01-18T10:01:35.070
5/10, 4/4, 11, 10133.692155038, 2025-01-18T12:50:28.818
6/10, 1/4, 5, 1633.375014429, 2025-01-18T13:21:00.906
6/10, 2/4, 7, 3163.443344001, 2025-01-18T14:13:44.356
6/10, 3/4, 9, 6024.396065338, 2025-01-18T15:54:08.773
6/10, 4/4, 11, 10040.308668895, 2025-01-18T18:41:29.140
7/10, 1/4, 5, 1675.116726409, 2025-01-18T19:14:41.408
7/10, 2/4, 7, 3291.038530974, 2025-01-18T20:09:32.454
7/10, 3/4, 9, 5991.311851813, 2025-01-18T21:49:23.787
7/10, 4/4, 11, 9730.120500169, 2025-01-19T00:31:33.961
8/10, 1/4, 5, 1687.00649826, 2025-01-19T01:08:13.454
8/10, 2/4, 7, 3223.756017916, 2025-01-19T02:01:57.218
8/10, 3/4, 9, 6080.407369783, 2025-01-19T03:43:17.644
8/10, 4/4, 11, 9736.471357391, 2025-01-19T06:25:34.173
9/10, 1/4, 5, 1684.856250644, 2025-01-19T07:00:25.211
9/10, 2/4, 7, 3281.387921496, 2025-01-19T07:55:06.605
9/10, 3/4, 9, 6152.116381349, 2025-01-19T09:37:38.740
9/10, 4/4, 11, 9935.646441484, 2025-01-19T12:23:14.442
10/10, 1/4, 5, 1697.390409574, 2025-01-19T12:53:50.651
10/10, 2/4, 7, 3273.96292739, 2025-01-19T13:48:24.621
10/10, 3/4, 9, 5955.698862167, 2025-01-19T15:27:40.343
10/10, 4/4, 11, 9967.813810811, 2025-01-19T18:13:48.206
