1/68, d=3, p=0.07, walltime=5.988364042, 2026-03-24T10:00:08.219
2/68, d=5, p=0.07, walltime=5.86174375, 2026-03-24T10:00:14.176
3/68, d=7, p=0.07, walltime=24.370156125, 2026-03-24T10:00:38.549
4/68, d=9, p=0.07, walltime=107.0657855, 2026-03-24T10:02:25.619
5/68, d=3, p=0.0725, walltime=1.597700125, 2026-03-24T10:02:27.229
6/68, d=5, p=0.0725, walltime=7.731793541, 2026-03-24T10:02:34.964
7/68, d=7, p=0.0725, walltime=29.539763458, 2026-03-24T10:03:04.505
8/68, d=9, p=0.0725, walltime=81.435622792, 2026-03-24T10:04:25.944
9/68, d=3, p=0.075, walltime=1.387974084, 2026-03-24T10:04:27.335
10/68, d=5, p=0.075, walltime=12.340385375, 2026-03-24T10:04:39.677
11/68, d=7, p=0.075, walltime=24.307912167, 2026-03-24T10:05:03.997
12/68, d=9, p=0.075, walltime=76.143270209, 2026-03-24T10:06:20.146
13/68, d=3, p=0.0775, walltime=0.757095375, 2026-03-24T10:06:20.905
14/68, d=5, p=0.0775, walltime=5.681014292, 2026-03-24T10:06:26.625
15/68, d=7, p=0.0775, walltime=21.413313042, 2026-03-24T10:06:48.040
16/68, d=9, p=0.0775, walltime=95.568321042, 2026-03-24T10:08:23.611
17/68, d=3, p=0.08, walltime=0.746315792, 2026-03-24T10:08:24.360
18/68, d=5, p=0.08, walltime=5.3296475, 2026-03-24T10:08:29.704
19/68, d=7, p=0.08, walltime=32.642526125, 2026-03-24T10:09:02.350
20/68, d=9, p=0.08, walltime=84.928649167, 2026-03-24T10:10:27.390
21/68, d=3, p=0.0825, walltime=1.51130475, 2026-03-24T10:10:28.944
22/68, d=5, p=0.0825, walltime=6.22064825, 2026-03-24T10:10:35.168
23/68, d=7, p=0.0825, walltime=29.436269667, 2026-03-24T10:11:04.612
24/68, d=9, p=0.0825, walltime=89.361334958, 2026-03-24T10:12:33.972
25/68, d=3, p=0.085, walltime=1.079842083, 2026-03-24T10:12:35.078
26/68, d=5, p=0.085, walltime=6.111667375, 2026-03-24T10:12:41.191
27/68, d=7, p=0.085, walltime=31.024380083, 2026-03-24T10:13:12.218
28/68, d=9, p=0.085, walltime=104.565891125, 2026-03-24T10:14:56.847
29/68, d=3, p=0.0875, walltime=1.108960125, 2026-03-24T10:14:57.958
30/68, d=5, p=0.0875, walltime=7.122090958, 2026-03-24T10:15:05.082
31/68, d=7, p=0.0875, walltime=27.732758417, 2026-03-24T10:15:32.827
32/68, d=9, p=0.0875, walltime=82.766552125, 2026-03-24T10:16:55.593
33/68, d=3, p=0.09, walltime=1.559094, 2026-03-24T10:16:57.158
34/68, d=5, p=0.09, walltime=6.073261416, 2026-03-24T10:17:03.235
35/68, d=7, p=0.09, walltime=26.997878208, 2026-03-24T10:17:30.235
36/68, d=9, p=0.09, walltime=91.001723334, 2026-03-24T10:19:01.235
37/68, d=3, p=0.0925, walltime=1.265511208, 2026-03-24T10:19:02.507
38/68, d=5, p=0.0925, walltime=5.900337458, 2026-03-24T10:19:08.408
39/68, d=7, p=0.0925, walltime=28.219667625, 2026-03-24T10:19:36.629
40/68, d=9, p=0.0925, walltime=108.668159, 2026-03-24T10:21:25.308
41/68, d=3, p=0.095, walltime=1.318769125, 2026-03-24T10:21:26.652
42/68, d=5, p=0.095, walltime=6.884127834, 2026-03-24T10:21:33.537
43/68, d=7, p=0.095, walltime=32.243599, 2026-03-24T10:22:05.792
44/68, d=9, p=0.095, walltime=93.422625917, 2026-03-24T10:23:39.214
45/68, d=3, p=0.0975, walltime=1.187429833, 2026-03-24T10:23:40.406
46/68, d=5, p=0.0975, walltime=7.157670125, 2026-03-24T10:23:47.569
47/68, d=7, p=0.0975, walltime=22.78197875, 2026-03-24T10:24:10.355
48/68, d=9, p=0.0975, walltime=83.455035167, 2026-03-24T10:25:33.808
49/68, d=3, p=0.1, walltime=0.983548208, 2026-03-24T10:25:34.822
50/68, d=5, p=0.1, walltime=5.697743542, 2026-03-24T10:25:40.521
51/68, d=7, p=0.1, walltime=27.92624975, 2026-03-24T10:26:08.449
52/68, d=9, p=0.1, walltime=91.330033917, 2026-03-24T10:27:39.778
53/68, d=3, p=0.1025, walltime=0.933278417, 2026-03-24T10:27:40.728
54/68, d=5, p=0.1025, walltime=6.2136285, 2026-03-24T10:27:46.946
55/68, d=7, p=0.1025, walltime=32.806313833, 2026-03-24T10:28:19.753
56/68, d=9, p=0.1025, walltime=117.229587042, 2026-03-24T10:30:16.995
57/68, d=3, p=0.105, walltime=2.2621675, 2026-03-24T10:30:19.291
58/68, d=5, p=0.105, walltime=13.528614875, 2026-03-24T10:30:32.820
59/68, d=7, p=0.105, walltime=56.213212041, 2026-03-24T10:31:29.042
60/68, d=9, p=0.105, walltime=121.689093625, 2026-03-24T10:33:30.738
61/68, d=3, p=0.1075, walltime=1.595536041, 2026-03-24T10:33:32.341
62/68, d=5, p=0.1075, walltime=10.618727916, 2026-03-24T10:33:42.961
63/68, d=7, p=0.1075, walltime=27.634238416, 2026-03-24T10:34:10.598
64/68, d=9, p=0.1075, walltime=76.724239167, 2026-03-24T10:35:27.337
65/68, d=3, p=0.11, walltime=0.812447542, 2026-03-24T10:35:28.172
66/68, d=5, p=0.11, walltime=3.869765292, 2026-03-24T10:35:32.043
67/68, d=7, p=0.11, walltime=17.745697625, 2026-03-24T10:35:49.790
68/68, d=9, p=0.11, walltime=52.023901625, 2026-03-24T10:36:41.814
