1/68, d=3, p=0.07, walltime=0.741453042, 2026-03-24T14:20:05.118
2/68, d=5, p=0.07, walltime=1.300566, 2026-03-24T14:20:06.440
3/68, d=7, p=0.07, walltime=5.778192209, 2026-03-24T14:20:12.224
4/68, d=9, p=0.07, walltime=17.105551, 2026-03-24T14:20:29.331
5/68, d=3, p=0.0725, walltime=0.176795792, 2026-03-24T14:20:29.509
6/68, d=5, p=0.0725, walltime=1.175633, 2026-03-24T14:20:30.703
7/68, d=7, p=0.0725, walltime=6.260940833, 2026-03-24T14:20:36.965
8/68, d=9, p=0.0725, walltime=18.927747708, 2026-03-24T14:20:55.895
9/68, d=3, p=0.075, walltime=0.218922333, 2026-03-24T14:20:56.115
10/68, d=5, p=0.075, walltime=1.203858417, 2026-03-24T14:20:57.320
11/68, d=7, p=0.075, walltime=5.75986475, 2026-03-24T14:21:03.089
12/68, d=9, p=0.075, walltime=19.308335792, 2026-03-24T14:21:22.400
13/68, d=3, p=0.0775, walltime=0.263127959, 2026-03-24T14:21:22.668
14/68, d=5, p=0.0775, walltime=1.328397416, 2026-03-24T14:21:23.998
15/68, d=7, p=0.0775, walltime=5.307800541, 2026-03-24T14:21:29.307
16/68, d=9, p=0.0775, walltime=17.219383625, 2026-03-24T14:21:46.528
17/68, d=3, p=0.08, walltime=0.337141791, 2026-03-24T14:21:46.867
18/68, d=5, p=0.08, walltime=2.006949875, 2026-03-24T14:21:48.877
19/68, d=7, p=0.08, walltime=6.548284459, 2026-03-24T14:21:55.429
20/68, d=9, p=0.08, walltime=21.009752916, 2026-03-24T14:22:16.440
21/68, d=3, p=0.0825, walltime=0.277687208, 2026-03-24T14:22:16.721
22/68, d=5, p=0.0825, walltime=1.3727015, 2026-03-24T14:22:18.095
23/68, d=7, p=0.0825, walltime=5.614429208, 2026-03-24T14:22:23.710
24/68, d=9, p=0.0825, walltime=16.566539208, 2026-03-24T14:22:40.279
25/68, d=3, p=0.085, walltime=0.244310917, 2026-03-24T14:22:40.525
26/68, d=5, p=0.085, walltime=1.3430745, 2026-03-24T14:22:41.869
27/68, d=7, p=0.085, walltime=5.40788525, 2026-03-24T14:22:47.279
28/68, d=9, p=0.085, walltime=17.053475458, 2026-03-24T14:23:04.334
29/68, d=3, p=0.0875, walltime=0.199666417, 2026-03-24T14:23:04.538
30/68, d=5, p=0.0875, walltime=1.429641791, 2026-03-24T14:23:05.969
31/68, d=7, p=0.0875, walltime=5.148039458, 2026-03-24T14:23:11.118
32/68, d=9, p=0.0875, walltime=18.5032155, 2026-03-24T14:23:29.623
33/68, d=3, p=0.09, walltime=0.22441875, 2026-03-24T14:23:29.852
34/68, d=5, p=0.09, walltime=1.280833125, 2026-03-24T14:23:31.134
35/68, d=7, p=0.09, walltime=5.339329375, 2026-03-24T14:23:36.475
36/68, d=9, p=0.09, walltime=19.555604708, 2026-03-24T14:23:56.032
37/68, d=3, p=0.0925, walltime=0.228273542, 2026-03-24T14:23:56.269
38/68, d=5, p=0.0925, walltime=1.306271459, 2026-03-24T14:23:57.576
39/68, d=7, p=0.0925, walltime=5.363114375, 2026-03-24T14:24:02.940
40/68, d=9, p=0.0925, walltime=17.393163292, 2026-03-24T14:24:20.337
41/68, d=3, p=0.095, walltime=0.22218725, 2026-03-24T14:24:20.561
42/68, d=5, p=0.095, walltime=1.298877958, 2026-03-24T14:24:21.862
43/68, d=7, p=0.095, walltime=5.475282333, 2026-03-24T14:24:27.340
44/68, d=9, p=0.095, walltime=25.870302208, 2026-03-24T14:24:53.228
45/68, d=3, p=0.0975, walltime=0.358471625, 2026-03-24T14:24:53.604
46/68, d=5, p=0.0975, walltime=1.896905083, 2026-03-24T14:24:55.510
47/68, d=7, p=0.0975, walltime=7.046728625, 2026-03-24T14:25:02.560
48/68, d=9, p=0.0975, walltime=19.814775292, 2026-03-24T14:25:22.377
49/68, d=3, p=0.1, walltime=0.264972417, 2026-03-24T14:25:22.651
50/68, d=5, p=0.1, walltime=2.098327458, 2026-03-24T14:25:24.751
51/68, d=7, p=0.1, walltime=5.854290708, 2026-03-24T14:25:30.614
52/68, d=9, p=0.1, walltime=23.988811875, 2026-03-24T14:25:54.606
53/68, d=3, p=0.1025, walltime=0.532254625, 2026-03-24T14:25:55.144
54/68, d=5, p=0.1025, walltime=3.074616208, 2026-03-24T14:25:58.220
55/68, d=7, p=0.1025, walltime=7.493721208, 2026-03-24T14:26:05.716
56/68, d=9, p=0.1025, walltime=20.532340375, 2026-03-24T14:26:26.253
57/68, d=3, p=0.105, walltime=0.323925, 2026-03-24T14:26:26.578
58/68, d=5, p=0.105, walltime=1.557703375, 2026-03-24T14:26:28.149
59/68, d=7, p=0.105, walltime=6.813838209, 2026-03-24T14:26:34.965
60/68, d=9, p=0.105, walltime=20.198613667, 2026-03-24T14:26:55.169
61/68, d=3, p=0.1075, walltime=0.469159666, 2026-03-24T14:26:55.642
62/68, d=5, p=0.1075, walltime=1.486770792, 2026-03-24T14:26:57.132
63/68, d=7, p=0.1075, walltime=8.376181417, 2026-03-24T14:27:05.509
64/68, d=9, p=0.1075, walltime=20.2323615, 2026-03-24T14:27:25.744
65/68, d=3, p=0.11, walltime=0.551269542, 2026-03-24T14:27:26.297
66/68, d=5, p=0.11, walltime=1.640003792, 2026-03-24T14:27:27.939
67/68, d=7, p=0.11, walltime=6.049611292, 2026-03-24T14:27:33.990
68/68, d=9, p=0.11, walltime=18.787249333, 2026-03-24T14:27:52.783
