1/68, d=3, p=0.07, walltime=0.967623166, 2026-03-29T13:56:22.774
2/68, d=5, p=0.07, walltime=2.925679709, 2026-03-29T13:56:25.702
3/68, d=7, p=0.07, walltime=16.600447625, 2026-03-29T13:56:42.308
4/68, d=9, p=0.07, walltime=34.570951875, 2026-03-29T13:57:16.883
5/68, d=3, p=0.0725, walltime=0.795091459, 2026-03-29T13:57:17.681
6/68, d=5, p=0.0725, walltime=3.846259291, 2026-03-29T13:57:21.530
7/68, d=7, p=0.0725, walltime=14.625553209, 2026-03-29T13:57:36.158
8/68, d=9, p=0.0725, walltime=36.511146209, 2026-03-29T13:58:12.680
9/68, d=3, p=0.075, walltime=0.669573083, 2026-03-29T13:58:13.353
10/68, d=5, p=0.075, walltime=3.233406584, 2026-03-29T13:58:16.588
11/68, d=7, p=0.075, walltime=12.796032125, 2026-03-29T13:58:29.388
12/68, d=9, p=0.075, walltime=35.086953959, 2026-03-29T13:59:04.487
13/68, d=3, p=0.0775, walltime=0.580237042, 2026-03-29T13:59:05.070
14/68, d=5, p=0.0775, walltime=2.936892333, 2026-03-29T13:59:08.009
15/68, d=7, p=0.0775, walltime=13.075720583, 2026-03-29T13:59:21.088
16/68, d=9, p=0.0775, walltime=35.136133, 2026-03-29T13:59:56.227
17/68, d=3, p=0.08, walltime=0.545681542, 2026-03-29T13:59:56.781
18/68, d=5, p=0.08, walltime=3.204876458, 2026-03-29T13:59:59.987
19/68, d=7, p=0.08, walltime=13.075489167, 2026-03-29T14:00:13.065
20/68, d=9, p=0.08, walltime=37.534221958, 2026-03-29T14:00:50.602
21/68, d=3, p=0.0825, walltime=0.496153958, 2026-03-29T14:00:51.101
22/68, d=5, p=0.0825, walltime=3.141340208, 2026-03-29T14:00:54.247
23/68, d=7, p=0.0825, walltime=13.026639416, 2026-03-29T14:01:07.275
24/68, d=9, p=0.0825, walltime=35.262237208, 2026-03-29T14:01:42.540
25/68, d=3, p=0.085, walltime=0.793209541, 2026-03-29T14:01:43.337
26/68, d=5, p=0.085, walltime=3.006096458, 2026-03-29T14:01:46.345
27/68, d=7, p=0.085, walltime=13.104904167, 2026-03-29T14:01:59.451
28/68, d=9, p=0.085, walltime=35.315925333, 2026-03-29T14:02:34.776
29/68, d=3, p=0.0875, walltime=0.543048792, 2026-03-29T14:02:35.321
30/68, d=5, p=0.0875, walltime=3.158865959, 2026-03-29T14:02:38.490
31/68, d=7, p=0.0875, walltime=13.535190875, 2026-03-29T14:02:52.027
32/68, d=9, p=0.0875, walltime=34.085470083, 2026-03-29T14:03:26.115
33/68, d=3, p=0.09, walltime=0.466646084, 2026-03-29T14:03:26.584
34/68, d=5, p=0.09, walltime=3.070632584, 2026-03-29T14:03:29.655
35/68, d=7, p=0.09, walltime=13.554470042, 2026-03-29T14:03:43.211
36/68, d=9, p=0.09, walltime=35.608000958, 2026-03-29T14:04:18.822
37/68, d=3, p=0.0925, walltime=0.520746709, 2026-03-29T14:04:19.344
38/68, d=5, p=0.0925, walltime=3.348040958, 2026-03-29T14:04:22.693
39/68, d=7, p=0.0925, walltime=13.552146167, 2026-03-29T14:04:36.247
40/68, d=9, p=0.0925, walltime=35.327619333, 2026-03-29T14:05:11.578
41/68, d=3, p=0.095, walltime=0.529720709, 2026-03-29T14:05:12.109
42/68, d=5, p=0.095, walltime=3.131368708, 2026-03-29T14:05:15.245
43/68, d=7, p=0.095, walltime=13.865576416, 2026-03-29T14:05:29.113
44/68, d=9, p=0.095, walltime=36.542719083, 2026-03-29T14:06:05.663
45/68, d=3, p=0.0975, walltime=0.597209584, 2026-03-29T14:06:06.270
46/68, d=5, p=0.0975, walltime=3.123037125, 2026-03-29T14:06:09.396
47/68, d=7, p=0.0975, walltime=13.820355667, 2026-03-29T14:06:23.218
48/68, d=9, p=0.0975, walltime=36.208945833, 2026-03-29T14:06:59.433
49/68, d=3, p=0.1, walltime=0.4966135, 2026-03-29T14:06:59.931
50/68, d=5, p=0.1, walltime=3.19815125, 2026-03-29T14:07:03.131
51/68, d=7, p=0.1, walltime=13.404093417, 2026-03-29T14:07:16.536
52/68, d=9, p=0.1, walltime=37.175945917, 2026-03-29T14:07:53.715
53/68, d=3, p=0.1025, walltime=0.539294208, 2026-03-29T14:07:54.256
54/68, d=5, p=0.1025, walltime=3.368786667, 2026-03-29T14:07:57.626
55/68, d=7, p=0.1025, walltime=13.622503042, 2026-03-29T14:08:11.251
56/68, d=9, p=0.1025, walltime=37.205031167, 2026-03-29T14:08:48.458
57/68, d=3, p=0.105, walltime=0.543137208, 2026-03-29T14:08:49.003
58/68, d=5, p=0.105, walltime=3.250353, 2026-03-29T14:08:52.254
59/68, d=7, p=0.105, walltime=14.671033625, 2026-03-29T14:09:06.928
60/68, d=9, p=0.105, walltime=38.072851542, 2026-03-29T14:09:45.004
61/68, d=3, p=0.1075, walltime=0.519310166, 2026-03-29T14:09:45.529
62/68, d=5, p=0.1075, walltime=3.182414833, 2026-03-29T14:09:48.713
63/68, d=7, p=0.1075, walltime=14.5709845, 2026-03-29T14:10:03.288
64/68, d=9, p=0.1075, walltime=38.013608792, 2026-03-29T14:10:41.305
65/68, d=3, p=0.11, walltime=0.594605166, 2026-03-29T14:10:41.906
66/68, d=5, p=0.11, walltime=3.785022708, 2026-03-29T14:10:45.692
67/68, d=7, p=0.11, walltime=16.12007675, 2026-03-29T14:11:01.818
68/68, d=9, p=0.11, walltime=37.604780333, 2026-03-29T14:11:39.426
