1/68, d=3, p=0.07, walltime=0.720255917, 2026-03-29T14:18:29.083
2/68, d=5, p=0.07, walltime=2.127127584, 2026-03-29T14:18:31.212
3/68, d=7, p=0.07, walltime=7.257159958, 2026-03-29T14:18:38.476
4/68, d=9, p=0.07, walltime=18.285761834, 2026-03-29T14:18:56.765
5/68, d=3, p=0.0725, walltime=0.68873475, 2026-03-29T14:18:57.469
6/68, d=5, p=0.0725, walltime=2.343767375, 2026-03-29T14:18:59.813
7/68, d=7, p=0.0725, walltime=6.184161041, 2026-03-29T14:19:05.999
8/68, d=9, p=0.0725, walltime=14.91341975, 2026-03-29T14:19:20.916
9/68, d=3, p=0.075, walltime=0.421415791, 2026-03-29T14:19:21.338
10/68, d=5, p=0.075, walltime=1.759697708, 2026-03-29T14:19:23.098
11/68, d=7, p=0.075, walltime=6.156660166, 2026-03-29T14:19:29.258
12/68, d=9, p=0.075, walltime=14.236133291, 2026-03-29T14:19:43.498
13/68, d=3, p=0.0775, walltime=0.396446166, 2026-03-29T14:19:43.898
14/68, d=5, p=0.0775, walltime=2.19818175, 2026-03-29T14:19:46.100
15/68, d=7, p=0.0775, walltime=6.463002584, 2026-03-29T14:19:52.564
16/68, d=9, p=0.0775, walltime=14.195151959, 2026-03-29T14:20:06.761
17/68, d=3, p=0.08, walltime=0.368701, 2026-03-29T14:20:07.137
18/68, d=5, p=0.08, walltime=1.88575075, 2026-03-29T14:20:09.028
19/68, d=7, p=0.08, walltime=5.810536416, 2026-03-29T14:20:14.851
20/68, d=9, p=0.08, walltime=14.205710917, 2026-03-29T14:20:29.058
21/68, d=3, p=0.0825, walltime=0.380119416, 2026-03-29T14:20:29.440
22/68, d=5, p=0.0825, walltime=1.630129333, 2026-03-29T14:20:31.071
23/68, d=7, p=0.0825, walltime=6.214505583, 2026-03-29T14:20:37.290
24/68, d=9, p=0.0825, walltime=14.910144875, 2026-03-29T14:20:52.206
25/68, d=3, p=0.085, walltime=0.4108955, 2026-03-29T14:20:52.618
26/68, d=5, p=0.085, walltime=1.684725541, 2026-03-29T14:20:54.307
27/68, d=7, p=0.085, walltime=5.989169, 2026-03-29T14:21:00.302
28/68, d=9, p=0.085, walltime=14.473934541, 2026-03-29T14:21:14.779
29/68, d=3, p=0.0875, walltime=0.396384333, 2026-03-29T14:21:15.179
30/68, d=5, p=0.0875, walltime=1.7394985, 2026-03-29T14:21:16.921
31/68, d=7, p=0.0875, walltime=6.000147041, 2026-03-29T14:21:22.924
32/68, d=9, p=0.0875, walltime=14.93134925, 2026-03-29T14:21:37.866
33/68, d=3, p=0.09, walltime=0.377536709, 2026-03-29T14:21:38.250
34/68, d=5, p=0.09, walltime=2.137402542, 2026-03-29T14:21:40.392
35/68, d=7, p=0.09, walltime=5.978073792, 2026-03-29T14:21:46.372
36/68, d=9, p=0.09, walltime=14.872073834, 2026-03-29T14:22:01.250
37/68, d=3, p=0.0925, walltime=0.383785292, 2026-03-29T14:22:01.637
38/68, d=5, p=0.0925, walltime=1.941294875, 2026-03-29T14:22:03.588
39/68, d=7, p=0.0925, walltime=6.107650542, 2026-03-29T14:22:09.697
40/68, d=9, p=0.0925, walltime=14.362425959, 2026-03-29T14:22:24.074
41/68, d=3, p=0.095, walltime=0.384474334, 2026-03-29T14:22:24.460
42/68, d=5, p=0.095, walltime=1.993155791, 2026-03-29T14:22:26.455
43/68, d=7, p=0.095, walltime=6.314976, 2026-03-29T14:22:32.772
44/68, d=9, p=0.095, walltime=15.453703709, 2026-03-29T14:22:48.228
45/68, d=3, p=0.0975, walltime=0.372026875, 2026-03-29T14:22:48.601
46/68, d=5, p=0.0975, walltime=1.791023458, 2026-03-29T14:22:50.393
47/68, d=7, p=0.0975, walltime=6.078473583, 2026-03-29T14:22:56.474
48/68, d=9, p=0.0975, walltime=15.21456425, 2026-03-29T14:23:11.690
49/68, d=3, p=0.1, walltime=0.395998916, 2026-03-29T14:23:12.097
50/68, d=5, p=0.1, walltime=1.67833525, 2026-03-29T14:23:13.778
51/68, d=7, p=0.1, walltime=5.837995042, 2026-03-29T14:23:19.623
52/68, d=9, p=0.1, walltime=15.244106333, 2026-03-29T14:23:34.890
53/68, d=3, p=0.1025, walltime=0.461640458, 2026-03-29T14:23:35.353
54/68, d=5, p=0.1025, walltime=2.233106625, 2026-03-29T14:23:37.593
55/68, d=7, p=0.1025, walltime=6.121190333, 2026-03-29T14:23:43.716
56/68, d=9, p=0.1025, walltime=14.608937375, 2026-03-29T14:23:58.330
57/68, d=3, p=0.105, walltime=0.380144083, 2026-03-29T14:23:58.712
58/68, d=5, p=0.105, walltime=2.270475292, 2026-03-29T14:24:00.983
59/68, d=7, p=0.105, walltime=6.057464708, 2026-03-29T14:24:07.043
60/68, d=9, p=0.105, walltime=14.947283625, 2026-03-29T14:24:21.992
61/68, d=3, p=0.1075, walltime=0.418173792, 2026-03-29T14:24:22.411
62/68, d=5, p=0.1075, walltime=1.716527167, 2026-03-29T14:24:24.137
63/68, d=7, p=0.1075, walltime=6.288170083, 2026-03-29T14:24:30.429
64/68, d=9, p=0.1075, walltime=16.277753791, 2026-03-29T14:24:46.710
65/68, d=3, p=0.11, walltime=0.410636042, 2026-03-29T14:24:47.123
66/68, d=5, p=0.11, walltime=1.762940708, 2026-03-29T14:24:48.886
67/68, d=7, p=0.11, walltime=5.968260458, 2026-03-29T14:24:54.856
68/68, d=9, p=0.11, walltime=15.231768042, 2026-03-29T14:25:10.090
