1/68, d=3, p=0.07, walltime=0.49226, 2026-03-24T15:44:38.058
2/68, d=5, p=0.07, walltime=2.6659735, 2026-03-24T15:44:40.744
3/68, d=7, p=0.07, walltime=10.267657667, 2026-03-24T15:44:51.013
4/68, d=9, p=0.07, walltime=22.2269725, 2026-03-24T15:45:13.240
5/68, d=3, p=0.0725, walltime=0.497701833, 2026-03-24T15:45:13.742
6/68, d=5, p=0.0725, walltime=2.929045833, 2026-03-24T15:45:16.681
7/68, d=7, p=0.0725, walltime=9.050793916, 2026-03-24T15:45:25.735
8/68, d=9, p=0.0725, walltime=23.699325625, 2026-03-24T15:45:49.436
9/68, d=3, p=0.075, walltime=0.63130075, 2026-03-24T15:45:50.071
10/68, d=5, p=0.075, walltime=2.806282583, 2026-03-24T15:45:52.878
11/68, d=7, p=0.075, walltime=8.991137958, 2026-03-24T15:46:01.870
12/68, d=9, p=0.075, walltime=25.171151917, 2026-03-24T15:46:27.044
13/68, d=3, p=0.0775, walltime=0.583523, 2026-03-24T15:46:27.635
14/68, d=5, p=0.0775, walltime=2.58290425, 2026-03-24T15:46:30.219
15/68, d=7, p=0.0775, walltime=8.595688833, 2026-03-24T15:46:38.816
16/68, d=9, p=0.0775, walltime=21.506928, 2026-03-24T15:47:00.325
17/68, d=3, p=0.08, walltime=0.529825958, 2026-03-24T15:47:00.859
18/68, d=5, p=0.08, walltime=2.764653542, 2026-03-24T15:47:03.625
19/68, d=7, p=0.08, walltime=8.298876042, 2026-03-24T15:47:11.924
20/68, d=9, p=0.08, walltime=21.669382875, 2026-03-24T15:47:33.595
21/68, d=3, p=0.0825, walltime=0.60598275, 2026-03-24T15:47:34.201
22/68, d=5, p=0.0825, walltime=2.668454541, 2026-03-24T15:47:36.871
23/68, d=7, p=0.0825, walltime=7.996937792, 2026-03-24T15:47:44.869
24/68, d=9, p=0.0825, walltime=24.069478125, 2026-03-24T15:48:08.940
25/68, d=3, p=0.085, walltime=0.644169166, 2026-03-24T15:48:09.586
26/68, d=5, p=0.085, walltime=2.862414667, 2026-03-24T15:48:12.450
27/68, d=7, p=0.085, walltime=9.055004083, 2026-03-24T15:48:21.518
28/68, d=9, p=0.085, walltime=28.413458334, 2026-03-24T15:48:49.933
29/68, d=3, p=0.0875, walltime=0.907951917, 2026-03-24T15:48:50.842
30/68, d=5, p=0.0875, walltime=3.206929458, 2026-03-24T15:48:54.050
31/68, d=7, p=0.0875, walltime=9.011606584, 2026-03-24T15:49:03.063
32/68, d=9, p=0.0875, walltime=21.939986375, 2026-03-24T15:49:25.009
33/68, d=3, p=0.09, walltime=0.607910375, 2026-03-24T15:49:25.621
34/68, d=5, p=0.09, walltime=2.558706917, 2026-03-24T15:49:28.181
35/68, d=7, p=0.09, walltime=8.559331458, 2026-03-24T15:49:36.744
36/68, d=9, p=0.09, walltime=25.058392667, 2026-03-24T15:50:01.813
37/68, d=3, p=0.0925, walltime=0.772409334, 2026-03-24T15:50:02.588
38/68, d=5, p=0.0925, walltime=4.758680166, 2026-03-24T15:50:07.349
39/68, d=7, p=0.0925, walltime=10.231893916, 2026-03-24T15:50:17.582
40/68, d=9, p=0.0925, walltime=25.643096833, 2026-03-24T15:50:43.228
41/68, d=3, p=0.095, walltime=0.927199416, 2026-03-24T15:50:44.157
42/68, d=5, p=0.095, walltime=3.307515, 2026-03-24T15:50:47.470
43/68, d=7, p=0.095, walltime=11.800148042, 2026-03-24T15:50:59.279
44/68, d=9, p=0.095, walltime=28.412809834, 2026-03-24T15:51:27.696
45/68, d=3, p=0.0975, walltime=0.792237208, 2026-03-24T15:51:28.490
46/68, d=5, p=0.0975, walltime=3.74624575, 2026-03-24T15:51:32.238
47/68, d=7, p=0.0975, walltime=12.075462917, 2026-03-24T15:51:44.315
48/68, d=9, p=0.0975, walltime=30.303156166, 2026-03-24T15:52:14.621
49/68, d=3, p=0.1, walltime=0.684933458, 2026-03-24T15:52:15.310
50/68, d=5, p=0.1, walltime=3.199961166, 2026-03-24T15:52:18.512
51/68, d=7, p=0.1, walltime=9.659463459, 2026-03-24T15:52:28.173
52/68, d=9, p=0.1, walltime=23.8142175, 2026-03-24T15:52:51.996
53/68, d=3, p=0.1025, walltime=0.87090075, 2026-03-24T15:52:52.869
54/68, d=5, p=0.1025, walltime=3.198854042, 2026-03-24T15:52:56.069
55/68, d=7, p=0.1025, walltime=9.987841917, 2026-03-24T15:53:06.058
56/68, d=9, p=0.1025, walltime=32.047107084, 2026-03-24T15:53:38.109
57/68, d=3, p=0.105, walltime=0.651843208, 2026-03-24T15:53:38.765
58/68, d=5, p=0.105, walltime=3.458134416, 2026-03-24T15:53:42.224
59/68, d=7, p=0.105, walltime=9.836993208, 2026-03-24T15:53:52.063
60/68, d=9, p=0.105, walltime=23.319227792, 2026-03-24T15:54:15.387
61/68, d=3, p=0.1075, walltime=0.542167917, 2026-03-24T15:54:15.931
62/68, d=5, p=0.1075, walltime=2.801042583, 2026-03-24T15:54:18.734
63/68, d=7, p=0.1075, walltime=8.5230015, 2026-03-24T15:54:27.260
64/68, d=9, p=0.1075, walltime=30.713275542, 2026-03-24T15:54:57.977
65/68, d=3, p=0.11, walltime=0.775759375, 2026-03-24T15:54:58.759
66/68, d=5, p=0.11, walltime=4.319437166, 2026-03-24T15:55:03.083
67/68, d=7, p=0.11, walltime=12.823601667, 2026-03-24T15:55:15.911
68/68, d=9, p=0.11, walltime=32.658645, 2026-03-24T15:55:48.571
